Title,Year,Duration,MPA,Rating,Votes,description,Movie Link,writers,directors,stars,Languages,oscar_nominated,oscar_winner,globe_nominated,globe_winner,globe_category,oscar_category,méta_score,directors[0],writers[0],stars[0],genres,genres_first2,genre1,genre2,prob_vencer_oscar
Henry Danger: The Movie,2025,86,TV-PG,4.8,1800.0,A theatrical film based on the Nickelodeon Show 'Henry Danger.',https://www.imdb.com/title/tt7787524/?ref_=sr_i_168,"Christopher J. Nowak, Jake Farrow, Dan Schneider",Joe Menendez,"Jace Norman, Sean Ryan Fox, Ella Anderson, Michael D. Cohen, Frankie Grande, Glee Dango, Andre Tricoteux, Cooper Barnes, Eric Mazimpaka, Rachel Drance",English,unknown,,unknown,unknown,,,,,,,"Superhero, Action, Adventure, Comedy, Family, Sci-Fi","Superhero, Action",Superhero,Action,0.014951651
You're Cordially Invited,2025,109,R,5.5,24000.0,"When two weddings are double-booked at the same venue, the father of one bride and the sister of the other bride try to preserve the wedding weekend.",https://www.imdb.com/title/tt21227864/?ref_=sr_i_106,Nicholas Stoller,Nicholas Stoller,"Will Ferrell, Reese Witherspoon, Geraldine Viswanathan, Meredith Hagner, Jimmy Tatro, Stony Blyden, Leanne Morgan, Rory Scovel, Keyla Monterroso Mejia, Ramona Young",English,unknown,,unknown,unknown,,,51.0,,,,Comedy,Comedy,Comedy,unknown,0.014624724
Tornado,2025,91,R,8.5,28.0,"A Japanese puppeteer's daughter gets caught up with criminals when their show crosses paths with a crime gang, led by Sugarman and his son Little Sugar.",https://www.imdb.com/title/tt27721490/?ref_=sr_i_287,John Maclean,John Maclean,"Douglas Russell, Jack Lowden, Tim Roth, Rory McCann, Takehiro Hira, Ian Hanmore, Alex Macqueen, Jamie Michie, Kôki, Sammy Hayman",English,unknown,,unknown,unknown,,,,,,,"Action, Drama, Thriller","Action, Drama",Action,Drama,0.0122631285
Inheritance,2025,101,R,5.6,1200.0,"When Maya learns her father Sam was once a spy, she suddenly finds herself at the center of an international conspiracy.",https://www.imdb.com/title/tt31050620/?ref_=sr_i_38,"Neil Burger, Olen Steinhauer",Neil Burger,"Phoebe Dynevor, Rhys Ifans, José Alvarez, John Garet Stoker, Kersti Bryan, Byron Clohessy, Majd Eid, Necar Zadegan, Adam El Nahas, Ihab Ebrahim",English,unknown,,unknown,unknown,,,55.0,,,,"Conspiracy Thriller, Thriller","Conspiracy Thriller, Thriller",Conspiracy Thriller,Thriller,0.009584878
O'Dessa,2025,106,PG-13,5.0,1000.0,"A farm girl in search to recover a cherished family heirloom. She travels to a strange and dangerous city where she meets her one true love. To save his soul, she must put the power of destiny to the ultimate test.",https://www.imdb.com/title/tt26304178/?ref_=sr_i_61,Geremy Jasper,Geremy Jasper,"Sadie Sink, Bree Elrod, Pokey LaFarge, Cora Sabo, Luka Baresic, Luca Anic, Mark Boone Junior, Harry Cadby, Bill Bekele, Gea Erjavec",English,unknown,,unknown,unknown,,,41.0,,,,"Drama, Music, Musical","Drama, Music",Drama,Music,0.008987183
Flight Risk,2025,91,R,5.3,22000.0,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem.",https://www.imdb.com/title/tt10078772/?ref_=sr_i_9,Jared Rosenberg,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace, Leah Remini, Maaz Ali, Paul Ben-Victor, Eilise Patton, Senor Pablo, Savanah Joeckel, Mark Schotz",English,unknown,,unknown,unknown,,,38.0,,,,"Action, Crime, Drama, Thriller","Action, Crime",Action,Crime,0.008177346
Revelations,2025,122,TV-14,6.0,1600.0,"A pastor and a detective, driven by their beliefs, pursue a missing person case, with the pastor seeking retribution after a divine revelation identifies the culprit who abducted his son.",https://www.imdb.com/title/tt32648798/?ref_=sr_i_84,"Kyu-Seok Choi, Yeon Sang-ho",Yeon Sang-ho,"Ryu Jun-yeol, Shin Hyeon-bin, Shin Min-jae, Moon Joo-yeon",Korean,unknown,,unknown,unknown,,,,,,,"Crime, Drama, Mystery, Thriller","Crime, Drama",Crime,Drama,0.0061291745
Opus,2025,104,R,5.9,1900.0,"A writer travels to the compound of a pop icon who disappeared years ago. Surrounded by his cult of sycophants, as well as a group of fellow journalists, she soon discovers his twisted plans for the gathering.",https://www.imdb.com/title/tt29929565/?ref_=sr_i_28,Mark Anthony Green,Mark Anthony Green,"Ayo Edebiri, John Malkovich, Juliette Lewis, Murray Bartlett, Melissa Chambers, Tony Hale, Stephanie Suganami, Mark Sivertsen, Amber Midthunder, Tatanka Means",English,unknown,,unknown,unknown,,,42.0,,,,"Psychological Drama, Drama","Psychological Drama, Drama",Psychological Drama,Drama,0.006101349
In the Lost Lands,2025,101,R,5.0,1500.0,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce, must outwit and outfight man and demon.",https://www.imdb.com/title/tt4419684/?ref_=sr_i_26,"Constantin Werner, Paul W.S. Anderson, George R.R. Martin",Paul W.S. Anderson,"Milla Jovovich, Dave Bautista, Arly Jover, Amara Okereke, Fraser James, Simon Lööf, Deirdre Mullins, Sebastian Stankiewicz, Tue Lunding, Jacek Dzisiewicz",English,unknown,,unknown,unknown,,,41.0,,,,"Dark Fantasy, Supernatural Fantasy, Survival, Action, Adventure, Fantasy","Dark Fantasy, Supernatural Fantasy",Dark Fantasy,Supernatural Fantasy,0.0059454525
Valiant One,2025,86,R,5.1,653.0,"With tensions between North and South Korea, a US helicopter crashes on the North Korean side. Now the survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",https://www.imdb.com/title/tt21442114/?ref_=sr_i_30,"Eric Tipton, Steve Barnett, Daniel Myrick",Steve Barnett,"Chase Stokes, Lana Condor, Desmin Borges, Callan Mulvey, Jonathan Whitesell, Jun Che, Ronald Patrick Thompson, Stephen Adekolu, Diana Tsoy, Michael Cha","English, Korean",unknown,,unknown,unknown,,,,,,,"Political Thriller, Thriller","Political Thriller, Thriller",Political Thriller,Thriller,0.0058281873
Mouse of Horrors,2025,80,TV-MA,2.7,227.0,"In a seaside town, chaos erupts as Doctor Rupert's monstrous creation stalks the night, harvesting body parts for a sinister purpose. No one is safe.",https://www.imdb.com/title/tt32119171/?ref_=sr_i_362,"Harry Boxley, Marc Gottlieb",Brendan Petrizzo,"Lewis Santer, Stephen Staley, Chris Lines, Natasha Tosini, Allie Moreno, Erin Sanderson, Rosie Edwards, Harry Giubileo, Nichaela Farrell, Jake Watkins",English,unknown,,unknown,unknown,,,,,,,"B-Horror, Slasher Horror, Horror","B-Horror, Slasher Horror",B-Horror,Slasher Horror,0.0052223005
Bloat,2025,86,R,3.7,372.0,"It follows a mother and two sons vacationing in Japan. Their younger son almost drowns in a lake, and soon after the accident, the parents realize that something is wrong with their boy.",https://www.imdb.com/title/tt23131648/?ref_=sr_i_152,"Pablo Absento, Buddy Giovinazzo",Pablo Absento,"Ben McKenzie, Bojana Novakovic, Malcolm Fuller, Sawyer Jones, Kane Kosugi, Royce Johnson, Rebecca Nelson, Jeff Applegate, Larry Bull, Colin Kilkenny","English, Japanese",unknown,,unknown,unknown,,,40.0,,,,"Found Footage Horror, Horror","Found Footage Horror, Horror",Found Footage Horror,Horror,0.0050743236
Back in Action,2025,114,PG-13,5.9,52000.0,Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.,https://www.imdb.com/title/tt21191806/?ref_=sr_i_95,"Seth Gordon, Brendan O'Brien, Lillian Yu",Seth Gordon,"Jamie Foxx, Cameron Diaz, McKenna Roberts, Rylan Jackson, Kyle Chandler, Glenn Close, Jamie Demetriou, Andrew Scott, Fola Evans-Akingbola, Robert Besta","English, Polish",unknown,,unknown,unknown,,,46.0,,,,"Spy, Action, Comedy","Spy, Action",Spy,Action,0.004981029
Nadaaniyan,2025,119,TV-14,3.0,14000.0,A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,https://www.imdb.com/title/tt30422937/?ref_=sr_i_127,"Riva Razdan Kapoor, Ishita Moitra, Jehan Handa",Shauna Gautam,"Ibrahim Ali Khan, Khushi Kapoor, Suniel Shetty, Mahima Chaudhry, Barun Chanda, Shaan Madan, Asha Rajgor, Saiyam Luthra, Shivam Gupta, Neel Deewan",Hindi,unknown,,unknown,unknown,,,,,,,"Romantic Comedy, Drama, Romance","Romantic Comedy, Drama",Romantic Comedy,Drama,0.0048203776
Silent Zone,2025,119,R,5.0,1800.0,"In a zombie-ravaged world, a resourceful teen and her protector fight for survival, facing relentless dangers and testing the limits of hope and loyalty.",https://www.imdb.com/title/tt9023964/?ref_=sr_i_105,"Viktor Csák, Krisztián Illés",Peter Deak,"Matt Devere, Luca Papp, Nikolett Barabas, Declan Hannigan, Alexis Latham, Katia Bokor, Roderick Hill, Julian Krenn, Harry Szovik, Márk Palla",English,unknown,,unknown,unknown,,,,,,,"Survival, Zombie Horror, Action, Horror, Thriller","Survival, Zombie Horror",Survival,Zombie Horror,0.004675454
Demon City,2025,106,TV-MA,5.4,3700.0,"Framed for his family's murder and left for dead, an ex-hitman will stop at nothing to exact revenge on the masked ""demons"" who have taken over his city.",https://www.imdb.com/title/tt35111035/?ref_=sr_i_123,"Masamichi Kawabe, Seiji Tanaka",Seiji Tanaka,"Tôma Ikuta, Masahiro Higashide, Miou Tanaka, Ami Tôma, Tarô Suruga, Mai Kiryû, Naoto Takenaka, Takuma Otoo, Masanobu Takashima, Matsuya Onoe",Japanese,unknown,,unknown,unknown,,,,,,,"Supernatural Fantasy, Action, Adventure, Crime, Fantasy, Thriller","Supernatural Fantasy, Action",Supernatural Fantasy,Action,0.0045337016
High Rollers,2025,101,R,3.6,557.0,"A master thief must pull off a dangerous casino heist when his nemesis kidnaps his lover. Caught between rival criminals and FBI pursuit, he risks all to save her and score big.",https://www.imdb.com/title/tt27829510/?ref_=sr_i_65,Chris Sivertson,Randall Emmett,"John Travolta, Gina Gershon, Lukas Haas, Quavo, Natali Yura, Noel Gugliemi, Swen Temmel, Demián Castro, Alex Hurt, Danny Pardo",English,unknown,,unknown,unknown,,,,,,,Action,Action,Action,unknown,0.0045262375
Alarum,2025,95,R,3.3,2200.0,"Two rogue spies go off-grid, marry, and come under attack at their remote cabin hideaway by various intel agencies seeking a stolen hard drive.",https://www.imdb.com/title/tt31456973/?ref_=sr_i_154,Alexander Vesha,Michael Polish,"Scott Eastwood, Sylvester Stallone, Willa Fitzgerald, Mike Colter, D.W. Moffett, Isis Valverde, Joel Cohen, Mark Polish, Abigail Spear, Anton Narinskiy",English,unknown,,unknown,unknown,,,23.0,,,,"Action, Crime, Thriller","Action, Crime",Action,Crime,0.0038717533
One of Them Days,2025,97,R,6.6,8500.0,"When best friends and roommates Dreux and Alyssa discover Alyssa's boyfriend has blown their rent money, the duo finds themselves going to extremes in a race against the clock to avoid eviction and keep their friendship intact.",https://www.imdb.com/title/tt32221196/?ref_=sr_i_3,Syreeta Singleton,Lawrence Lamont,"Keke Palmer, SZA, Vanessa Bell Calloway, Lil Rel Howery, Katt Williams, Maude Apatow, Patrick Cage, Gabrielle Dennis, Janelle James, Amin Joseph",English,unknown,,unknown,unknown,,,71.0,,,,"Buddy Comedy, Comedy","Buddy Comedy, Comedy",Buddy Comedy,Comedy,0.0035298516
Little Siberia,2025,105,TV-MA,5.2,716.0,"A pastor's faith turns upside down when a meteorite lands in his small Finnish town, its impact stirring up chaos and criminal intentions.",https://www.imdb.com/title/tt31828346/?ref_=sr_i_113,"Dome Karukoski, Minna Panjanen, Antti Tuomainen",Dome Karukoski,"Rune Temte, Malla Malmivaara, Tommi Korpela, Eero Ritala, Jenni Banerjee, Martti Suosalo, Haymon Maria Buttinger, Janne Hyytiäinen, Severi Saarinen, Amira Khalifa",Finnish,unknown,,unknown,unknown,,,,,,,"Comedy, Drama, Thriller","Comedy, Drama",Comedy,Drama,0.0031034506
Chaos: The Manson Murders,2025,95,TV-MA,5.6,2100.0,"A deep dive into alternative theories surrounding the Manson murders reveals unexpected connections to government agencies, mind control experiments, and key figures from the era, challenging the accepted narrative.",https://www.imdb.com/title/tt35628886/?ref_=sr_i_161,"Tom O'Neill, Dan Piepenbring",Errol Morris,"Charles Manson, Stephen Kay, Tom O'Neill, Errol Morris, Bobby Beausoleil, Gregg Jakobson, Sharon Tate, Voytek Frykowski, Jay Sebring, Abigail Folger",English,unknown,,unknown,unknown,,,62.0,,,,"Crime, Documentary","Crime, Documentary",Crime,Documentary,0.002652623
Den of Thieves: Pantera,2025,144,R,6.3,21000.0,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",https://www.imdb.com/title/tt8008948/?ref_=sr_i_7,"Christian Gudegast, Paul T. Scheuring",Christian Gudegast,"Gerard Butler, O'Shea Jackson Jr., Evin Ahmad, Salvatore Esposito, Orli Shuka, Stéphane Coulon, Cristian Solimeno, Nazmiye Oral, Mark Grosy, Joshua Gabriel Liège","English, French",unknown,,unknown,unknown,,,60.0,,,,"Action, Crime, Drama, Thriller","Action, Crime",Action,Crime,0.0025939618
Larissa: The Other Side of Anitta,2025,100,TV-MA,5.6,612.0,"Behind global star Anitta is Larissa, known only to her inner circle. Through an old flame's perspective, we see her true self emerge as she navigates personal challenges that reshape her life's direction.",https://www.imdb.com/title/tt35630679/?ref_=sr_i_413,Maria Ribeiro,"Pedro Cantelmo, João Wainer","Snoop Dogg, Anitta, Aryè Campos, Pedro Cantelmo, Rebeca Leon, Miriam Macedo, Felipe Britto, Mauro Machado, Jú Amaral, Pedro Sampaio","English, Portuguese, Spanish",unknown,,unknown,unknown,,,,,,,"Music Documentary, Biography, Documentary, Music","Music Documentary, Biography",Music Documentary,Biography,0.0024307743
Like Father Like Son,2025,89,R,4.8,46.0,"Eli's father awaits execution for murder. As Eli experiences violent tendencies himself, he takes drastic steps to break the family's cycle of brutality.",https://www.imdb.com/title/tt33319714/?ref_=sr_i_456,Barry Jay,Barry Jay,"Dylan Flashner, Dermot Mulroney, Benjamin Mackey, Prima Apollinaare, Jim Klock, Eric Michael Cole, Daniel Lench, Casey James, John C. Epperson, Michael Roddy",English,unknown,,unknown,unknown,,,,,,,Thriller,Thriller,Thriller,unknown,0.0023654453
Bert Kreischer: Lucky,2025,67,TV-MA,6.3,431.0,"Comedian Bert Kreischer's fourth Netflix special covers his weight loss journey, family stories, and advice from Snoop Dogg, while reflecting on his lucky life experiences.",https://www.imdb.com/title/tt35924806/?ref_=sr_i_192,Bert Kreischer,Jeff Tomsic,Bert Kreischer,English,unknown,,unknown,unknown,,,,,,,"Stand-Up, Comedy, Documentary","Stand-Up, Comedy",Stand-Up,Comedy,0.0023641
Cleaner,2025,97,R,4.9,3300.0,"Criminal activists hijack a gala, taking 300 hostages. One extremist plans mass murder as a message to the world. An Ex-soldier turned window cleaner now works to rescue the hostages.",https://www.imdb.com/title/tt27812086/?ref_=sr_i_34,"Simon Uttley, Paul Andrew Williams, Matthew Orton",Martin Campbell,"Poppy Townsend White, Dudley Watts, Calvin Warrington-Heasman, Andreea Diac, Daisy Ridley, Matthew Tuck, Kate Nichols, Russell De Rozario, Lee Boardman, Stella Stocker",English,unknown,,unknown,unknown,,,52.0,,,,"One-Person Army Action, Action, Drama, Thriller","One-Person Army Action, Action",One-Person Army Action,Action,0.002341461
Captain America: Brave New World,2025,118,PG-13,5.9,82000.0,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",https://www.imdb.com/title/tt14513804/?ref_=sr_i_1,"Rob Edwards, Malcolm Spellman, Dalan Musson",Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez, Shira Haas, Carl Lumbly, Tim Blake Nelson, Giancarlo Esposito, Xosha Roquemore, Jóhannes Haukur Jóhannesson, William Mark McCullough",English,unknown,,unknown,unknown,,,42.0,,,,"Action Epic, Adventure Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi","Action Epic, Adventure Epic",Action Epic,Adventure Epic,0.002225851
Piglet,2025,90,TV-MA,2.6,405.0,"On Kate's 21st birthday camping trip, her friends encounter Piglet, a monstrous human-pig hybrid who brutally murders one of them. They uncover Piglet's origins and Kate must confront her past to survive the relentless killer.",https://www.imdb.com/title/tt33050292/?ref_=sr_i_344,Harry Boxley,Andrea M. Catinella,"Alexander Butler, Lauren Staerck, Alina Desmond, Shayli Reagan, Jeremy Vinogradov, Valery Danko, Alina Varakuta, Tyler Winchcombe, Eva Ray, Jack Monohan",English,unknown,,unknown,unknown,,,,,,,"B-Horror, Slasher Horror, Horror","B-Horror, Slasher Horror",B-Horror,Slasher Horror,0.002214247
Ash,2025,95,R,5.9,835.0,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,https://www.imdb.com/title/tt17489650/?ref_=sr_i_35,Jonni Remmler,Flying Lotus,"Eiza González, Aaron Paul, Iko Uwais, Kate Elliott, Beulah Koale, Flying Lotus, Andrew B. Miller",English,unknown,,unknown,unknown,,,63.0,,,,"Alien Invasion, Monster Horror, Psychological Horror, Psychological Thriller, Space Sci-Fi, Survival, Horror, Sci-Fi, Thriller","Alien Invasion, Monster Horror",Alien Invasion,Monster Horror,0.00217762
La Dolce Villa,2025,99,TV-14,6.0,7500.0,"A successful businessman travels to Italy to stop his daughter from spending all her money to restore an old villa, but Italy has other romantic plans.",https://www.imdb.com/title/tt31519456/?ref_=sr_i_109,"Elizabeth Hackett, Hilary Galanoy",Mark Waters,"Scott Foley, Violante Placido, Maia Reficco, Giuseppe Futia, Simone Luglio, Tommaso Basili, Daniel Panzironi, Nunzia Schiano, Luisa De Santis, Lucia Ricalzone",English,unknown,,unknown,unknown,,,44.0,,,,"Comedy, Romance","Comedy, Romance",Comedy,Romance,0.001960575
Locked,2025,95,R,6.4,772.0,A thief breaking into a luxury SUV realizes that he has slipped into a sophisticated game of psychological horror.,https://www.imdb.com/title/tt26671996/?ref_=sr_i_32,"Mariano Cohn, Gastón Duprat, Michael Arlen Ross",David Yarovesky,"Bill Skarsgård, Anthony Hopkins, Ashley Cartwright, Navid Charkhi, Michael Eklund, Emma Kombe, Sofia Tesema",English,unknown,,unknown,unknown,,,45.0,,,,"Psychological Thriller, Thriller","Psychological Thriller, Thriller",Psychological Thriller,Thriller,0.0018689531
Sniper: The Last Stand,2025,99,R,4.5,758.0,"An expert sniper leads a special ops team in Costa Verde to prevent a dangerous arms dealer from deploying a lethal weapon. While mentoring a rookie shooter, he struggles with his new leadership role as the mission grows deadlier.",https://www.imdb.com/title/tt34910018/?ref_=sr_i_245,Sean Wathen,Danishka Esterhazy,"Chad Michael Collins, Ryan Robbins, Sharon Taylor, Manuel Rodriguez-Saenz, Vusi Kunene, Sizo Mahlangu, Noxolo Dlamini, Arnold Vosloo, Rob van Vuuren, Shamilla Miller",English,unknown,,unknown,unknown,,,,,,,Action,Action,Action,unknown,0.0018404988
Tyler Perry's Duplicity,2025,109,R,4.6,1000.0,High-powered attorney Marley faces her most personal case yet when she is tasked with uncovering the truth behind the shooting of her best friend Fela's husband.,https://www.imdb.com/title/tt28239363/?ref_=sr_i_62,Tyler Perry,Tyler Perry,"Kat Graham, Meagan Tandy, Tyler Lepley, RonReaco Lee, Joshua Adeyeye, Nick Barrotta, Jimi Stanton, Shannon LaNier, Kim Steele, Betty Mitchell",English,unknown,,unknown,unknown,,,,,,,"Drama, Mystery","Drama, Mystery",Drama,Mystery,0.0015729361
Diddy: The Making of a Bad Boy,2025,99,TV-MA,5.3,539.0,"The documentary delves into Diddy's early years, his transformation from Sean Combs to Puffy and Diddy, the forces that shaped him, his childhood, music career, and the recent allegations of sexual misconduct, challenging perceptions.",https://www.imdb.com/title/tt35261990/?ref_=sr_i_514,"Lisa Bloom, Kim Osorio, Sara Rivers","Lisa Bloom, Al B. Sure!","Lisa Bloom, Kim Osorio, Sara Rivers, Al B. Sure!",English,unknown,,unknown,unknown,,,,,,,"Biography, Crime, Documentary, Music","Biography, Crime",Biography,Crime,0.0015295926
Companion,2025,97,R,7.0,67000.0,A weekend getaway with friends at a remote cabin turns into chaos after it's revealed that one of the guests is not what they seem.,https://www.imdb.com/title/tt26584495/?ref_=sr_i_10,Drew Hancock,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén, Rupert Friend, Jaboukie Young-White, Matt McCarthy, Marc Menchaca, Woody Fu",English,unknown,,unknown,unknown,,,70.0,,,,"Artificial Intelligence, Dark Comedy, Psychological Thriller, Sci-Fi, Thriller","Artificial Intelligence, Dark Comedy",Artificial Intelligence,Dark Comedy,0.0015182999
Last Breath,2025,93,PG-13,6.6,9900.0,A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean's surface.,https://www.imdb.com/title/tt14403504/?ref_=sr_i_12,"Mitchell LaFortune, Alex Parkinson, David Brooks",Alex Parkinson,"Woody Harrelson, Simu Liu, Finn Cole, Cliff Curtis, Mark Bonnar, MyAnna Buring, Josef Altin, Bobby Rainsbury, Connor Reed, Nick Biadon",English,unknown,,unknown,unknown,,,66.0,,,,"Sea Adventure, Drama, Thriller","Sea Adventure, Drama",Sea Adventure,Drama,0.0014751084
